cbg,RCN
483610215025,2.220446049250313e-16
483610216001,-8.881784197001252e-16
483610216002,-1.887379141862766e-15
483610216003,-6.661338147750939e-16
483610217001,-1.887379141862766e-15
483610217002,1.7763568394002505e-15
483610218001,1.4432899320127035e-15
483610218002,2.220446049250313e-16
483610219001,-1.9984014443252818e-15
483610219002,8.881784197001252e-16
483610219003,2.3314683517128287e-15
483610219004,1.2212453270876722e-15
483610219005,5.551115123125783e-16
483610219006,1.1102230246251565e-16
483610220001,1.1102230246251565e-15
483610220002,1.5543122344752192e-15
483610220003,1.1102230246251565e-16
483610222001,2.7755575615628914e-15
483610222002,5.551115123125783e-16
483610223001,2.1094237467877974e-15
483610223002,-2.1094237467877974e-15
483610223003,2.220446049250313e-15
483610223004,1.9984014443252818e-15
483610223005,-1.5543122344752192e-15
483610224001,6.661338147750939e-16
483610224002,0.0
483610224003,2.220446049250313e-15
483610224004,-2.220446049250313e-16
483610224005,2.7755575615628914e-15
