cbg,RCN
482450069002,8.881784197001252e-16
482450069003,1.2212453270876722e-15
482450070011,0.0
482450070012,5.551115123125783e-16
482450070013,-1.1102230246251565e-15
482450070021,-2.220446049250313e-16
482450070022,-1.1102230246251565e-15
482450071001,7.771561172376096e-16
482450071002,2.220446049250313e-16
482450071003,-1.7763568394002505e-15
482450101001,-6.661338147750939e-16
482450101002,1.9984014443252818e-15
482450101003,3.3306690738754696e-16
482450102001,2.886579864025407e-15
482450102002,2.4424906541753444e-15
482450103001,2.4424906541753444e-15
482450103002,3.3306690738754696e-16
482450104001,-1.1102230246251565e-15
482450104002,-9.992007221626409e-16
482450104003,5.551115123125783e-16
482450105001,-1.887379141862766e-15
482450105002,6.661338147750939e-16
482450105003,1.9984014443252818e-15
482450105004,5.551115123125783e-16
482450106001,2.220446049250313e-15
482450106002,-8.881784197001252e-16
482450106003,-1.2212453270876722e-15
482450106004,1.1102230246251565e-16
482450106005,1.1102230246251565e-15
482450107001,-2.9976021664879227e-15
482450107002,1.4432899320127035e-15
482450107003,-2.220446049250313e-15
482450108001,1.887379141862766e-15
482450108002,-3.3306690738754696e-16
482450108003,-1.6653345369377348e-15
482450108004,9.992007221626409e-16
482450108005,-2.9976021664879227e-15
482450109011,-7.771561172376096e-16
482450109012,-1.4432899320127035e-15
482450109013,2.220446049250313e-15
482450109021,6.661338147750939e-16
482450109022,1.6653345369377348e-15
482450109023,1.1102230246251565e-16
482450110011,-5.551115123125783e-16
482450110012,-2.220446049250313e-15
482450110013,2.6645352591003757e-15
482450110014,1.3322676295501878e-15
482450110021,-1.5543122344752192e-15
482450110022,5.551115123125783e-16
482450110023,4.440892098500626e-16
482450111011,1.2212453270876722e-15
482450111012,1.1102230246251565e-15
482450111013,1.7763568394002505e-15
482450111014,4.440892098500626e-16
482450111021,1.1102230246251565e-15
482450111022,9.992007221626409e-16
482450111023,1.1102230246251565e-16
482450112011,1.1102230246251565e-15
482450112012,1.6653345369377348e-15
482450112013,1.5543122344752192e-15
482450112014,7.771561172376096e-16
482450112015,6.661338147750939e-16
482450112031,0.0
482450113031,-6.661338147750939e-16
482450113032,7.771561172376096e-16
482450113041,-2.4424906541753444e-15
482450113042,-2.1094237467877974e-15
482450114001,-3.3306690738754696e-16
482450114002,9.992007221626409e-16
482450114003,3.3306690738754696e-16
482450114004,-3.3306690738754696e-16
482450114005,5.551115123125783e-16
482450115001,1.5543122344752192e-15
482450116001,3.3306690738754696e-16
482450116002,-2.1094237467877974e-15
482450117001,1.5543122344752192e-15
482450117002,-1.1102230246251565e-16
482450118001,4.440892098500626e-16
482450118002,-1.7763568394002505e-15
482459800001,5.551115123125783e-16
483610202001,-2.6645352591003757e-15
483610202002,1.6653345369377348e-15
483610202003,-2.7755575615628914e-15
483610202004,1.4432899320127035e-15
483610203001,5.551115123125783e-16
483610203002,2.4424906541753444e-15
483610203003,-1.5543122344752192e-15
483610205001,1.4432899320127035e-15
483610205002,7.771561172376096e-16
483610205003,1.2212453270876722e-15
483610205004,1.1102230246251565e-15
483610207001,-1.887379141862766e-15
483610207002,-2.7755575615628914e-15
483610207003,-1.7763568394002505e-15
483610207004,5.551115123125783e-16
483610208001,7.771561172376096e-16
483610208002,1.6653345369377348e-15
483610209001,6.661338147750939e-16
483610209002,-3.3306690738754696e-16
483610209003,-8.881784197001252e-16
483610209004,1.9984014443252818e-15
483610210001,1.1102230246251565e-15
483610211001,1.5543122344752192e-15
483610212001,3.3306690738754696e-16
483610212002,-3.3306690738754696e-16
483610212003,1.6653345369377348e-15
483610213001,1.1102230246251565e-15
483610213002,-5.551115123125783e-16
483610213003,-2.220446049250313e-16
483610214001,-3.3306690738754696e-15
483610214002,1.2212453270876722e-15
483610215011,2.55351295663786e-15
483610215021,-2.220446049250313e-15
483610215022,-1.3322676295501878e-15
483610215023,-9.992007221626409e-16
483610215024,9.992007221626409e-16
