cbg,deg_t0,deg_tD,deg_t1,vulnerability,robustness,drop_depth,recovery_rate,area_loss
482450023003,0.0,0.08333333333333326,0.28255208333333326,0.08333333333333326,0.19921875,-0.08333333333333326,0.19921875,-0.08333333333333326
482450023004,0.4074074074074072,0.5683501683501682,1.0,0.16094276094276094,0.43164983164983184,-0.16094276094276094,0.43164983164983184,-0.16094276094276094
482450023005,0.07094266277939743,0.0942662779397474,0.0,0.023323615160349975,-0.0942662779397474,-0.023323615160349975,-0.0942662779397474,-0.023323615160349975
482450024001,0.0,0.3313550939663701,0.12265084075173105,0.3313550939663701,-0.20870425321463904,-0.3313550939663701,-0.20870425321463904,-0.3313550939663701
482450024002,0.2402597402597404,0.3246753246753247,0.04155844155844157,0.08441558441558428,-0.2831168831168831,-0.08441558441558428,-0.2831168831168831,-0.08441558441558428
482450024003,0.19798657718120793,0.4362416107382554,0.9228187919463089,0.23825503355704747,0.4865771812080535,-0.23825503355704747,0.4865771812080535,-0.23825503355704747
482450024004,0.47340980187695525,0.2867570385818563,0.20437956204379581,-0.18665276329509894,-0.08237747653806049,0.18665276329509894,-0.08237747653806049,0.18665276329509894
482450025001,0.26028481012658267,0.23022151898734178,0.0,-0.03006329113924089,-0.23022151898734178,0.03006329113924089,-0.23022151898734178,0.03006329113924089
482450025002,0.44186046511627897,0.5108777194298577,0.0,0.06901725431357875,-0.5108777194298577,-0.06901725431357875,-0.5108777194298577,-0.06901725431357875
482450026001,0.07206555796577485,0.13087490961677506,0.1320800192817546,0.05880935165100021,0.0012051096649795534,-0.05880935165100021,0.0012051096649795534,-0.05880935165100021
482450026002,0.20518358531317493,0.8323048441838937,0.9999999999999999,0.6271212588707188,0.16769515581610617,-0.6271212588707188,0.16769515581610617,-0.6271212588707188
482450026003,0.08597938144329897,0.9878350515463918,1.0,0.9018556701030929,0.01216494845360816,-0.9018556701030929,0.01216494845360816,-0.9018556701030929
482450026004,0.36300174520069817,0.6186736474694592,0.675392670157068,0.255671902268761,0.05671902268760887,-0.255671902268761,0.05671902268760887,-0.255671902268761
482450026005,0.177289173392708,0.9999999999999999,0.9983300862788757,0.8227108266072919,-0.0016699137211242387,-0.8227108266072919,-0.0016699137211242387,-0.8227108266072919
482450051001,0.03258426966292127,0.26067415730337107,0.1505617977528093,0.2280898876404498,-0.11011235955056176,-0.2280898876404498,-0.11011235955056176,-0.2280898876404498
482450051002,0.16936488169364883,0.28268991282689915,0.5404732254047324,0.11332503113325032,0.25778331257783327,-0.11332503113325032,0.25778331257783327,-0.11332503113325032
482450054001,0.12749999999999995,0.10624999999999996,0.012499999999999956,-0.02124999999999999,-0.09375,0.02124999999999999,-0.09375,0.02124999999999999
482450054002,0.2996323529411762,0.5698529411764706,0.2720588235294117,0.2702205882352944,-0.2977941176470589,-0.2702205882352944,-0.2977941176470589,-0.2702205882352944
482450055001,0.2413793103448274,0.07279693486590055,0.0,-0.16858237547892685,-0.07279693486590055,0.16858237547892685,-0.07279693486590055,0.16858237547892685
482450055002,0.21443736730360952,0.4670912951167727,0.0,0.2526539278131632,-0.4670912951167727,-0.2526539278131632,-0.4670912951167727,-0.2526539278131632
482450055003,0.12553495007132653,0.3994293865905849,0.0,0.2738944365192584,-0.3994293865905849,-0.2738944365192584,-0.3994293865905849,-0.2738944365192584
482450055004,0.0,0.30344827586206913,0.0386206896551724,0.30344827586206913,-0.2648275862068967,-0.30344827586206913,-0.2648275862068967,-0.30344827586206913
482450056001,0.3065476190476186,0.5654761904761902,0.22172619047619024,0.2589285714285716,-0.34375,-0.2589285714285716,-0.34375,-0.2589285714285716
482450056002,0.5335365853658538,0.26067073170731714,0.0,-0.27286585365853666,-0.26067073170731714,0.27286585365853666,-0.26067073170731714,0.27286585365853666
482450056003,0.7919161676646707,0.6047904191616764,0.47904191616766445,-0.18712574850299424,-0.12574850299401197,0.18712574850299424,-0.12574850299401197,0.18712574850299424
482450056004,0.6313253012048192,0.4265060240963856,0.49879518072289164,-0.20481927710843362,0.07228915662650603,0.20481927710843362,0.07228915662650603,0.20481927710843362
482450059001,0.5458612975391501,0.6554809843400449,0.0,0.10961968680089473,-0.6554809843400449,-0.10961968680089473,-0.6554809843400449,-0.10961968680089473
482450059002,0.6469194312796207,0.514218009478673,0.13744075829383884,-0.13270142180094768,-0.3767772511848342,0.13270142180094768,-0.3767772511848342,0.13270142180094768
